Status,Size,Referrer,User_Agent,Method,URL
500,1672,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/products
500,3383,"""http://example.com/""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/
404,2431,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/submit-form
500,462,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/index.html
200,4703,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/profile
302,3354,"""http://example.com/profile""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/profile
500,3064,"""http://example.com/""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/
200,1869,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/contact
200,249,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/search
500,4532,"""http://example.com/login""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/login
302,291,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/dashboard
500,4148,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/products
404,228,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/
404,1633,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/
200,4262,"""http://example.com/index.html""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/index.html
302,1185,"""http://example.com/search""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/search
302,4280,"""http://example.com/contact""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/contact
500,3502,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/login
302,2774,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/search
302,1647,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/contact
302,255,"""http://example.com/products""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/products
200,4266,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/profile
200,4261,"""http://example.com/index.html""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/index.html
404,2284,"""http://example.com/""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/
200,3345,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/contact
302,4027,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/search
404,3233,"""http://example.com/contact""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/contact
404,4264,"""http://example.com/""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/
500,2536,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/contact
404,989,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/products
200,4089,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/login
302,4364,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/contact
302,2548,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/contact
500,4963,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/contact
200,2560,"""http://example.com/index.html""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/index.html
404,1843,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/submit-form
404,565,"""http://example.com/contact""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/contact
302,4337,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/contact
200,555,"""http://example.com/""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/
200,4226,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/login
404,4725,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/contact
302,3109,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/index.html
404,1651,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/login
404,1487,"""http://example.com/contact""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/contact
302,4244,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/index.html
404,1603,"""http://example.com/""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/
404,4613,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/products
200,2028,"""http://example.com/index.html""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/index.html
302,4846,"""http://example.com/""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/
200,2849,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/search
500,250,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/submit-form
200,1342,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/search
500,3369,"""http://example.com/""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/
302,1850,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/submit-form
200,986,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/dashboard
302,1293,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/contact
200,331,"""http://example.com/submit-form""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/submit-form
404,3604,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/contact
200,3316,"""http://example.com/index.html""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/index.html
404,828,"""http://example.com/profile""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/profile
404,356,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/search
500,1597,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/index.html
500,4021,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/index.html
500,1744,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/contact
200,1797,"""http://example.com/search""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/search
302,4136,"""http://example.com/""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/
200,1085,"""http://example.com/""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/
200,1087,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/profile
302,4130,"""http://example.com/dashboard""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/dashboard
200,1377,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/submit-form
500,4134,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/index.html
200,4158,"""http://example.com/""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/
404,1070,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/login
500,3148,"""http://example.com/index.html""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/index.html
500,800,"""http://example.com/""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/
200,4726,"""http://example.com/search""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/search
302,988,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/submit-form
404,3180,"""http://example.com/products""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/products
200,4543,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/products
302,1089,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/submit-form
404,1299,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/login
500,1940,"""http://example.com/index.html""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/index.html
200,4290,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/submit-form
302,1820,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/profile
404,231,"""http://example.com/contact""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/contact
500,1888,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/search
302,3789,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/submit-form
404,838,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/contact
200,1277,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/contact
404,2783,"""http://example.com/login""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/login
200,1693,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/contact
404,1887,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/profile
302,4122,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/contact
302,2352,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/index.html
200,4525,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/search
404,4720,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/submit-form
200,2773,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/profile
500,1603,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/login
302,907,"""http://example.com/login""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/login
302,1008,"""http://example.com/search""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/search
500,4541,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/products
302,3225,"""http://example.com/contact""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/contact
200,2967,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/products
302,4679,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/index.html
500,3526,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/index.html
302,616,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/index.html
302,3722,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/submit-form
200,2848,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/contact
404,2443,"""http://example.com/products""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/products
302,3787,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/submit-form
302,326,"""http://example.com/login""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/login
404,3477,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/search
200,2376,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/products
200,2245,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/search
200,2009,"""http://example.com/dashboard""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/dashboard
302,4215,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/login
200,730,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/index.html
200,4496,"""http://example.com/submit-form""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/submit-form
404,4102,"""http://example.com/index.html""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/index.html
302,101,"""http://example.com/profile""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/profile
404,2586,"""http://example.com/products""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/products
404,4933,"""http://example.com/dashboard""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/dashboard
302,2969,"""http://example.com/products""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/products
200,3175,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/login
404,2851,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/index.html
200,3058,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/search
404,1007,"""http://example.com/profile""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/profile
200,4710,"""http://example.com/products""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/products
200,972,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/
200,3140,"""http://example.com/submit-form""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/submit-form
200,3740,"""http://example.com/submit-form""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/submit-form
500,242,"""http://example.com/profile""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/profile
200,525,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/index.html
500,3301,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/search
404,4134,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/dashboard
500,4039,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/search
200,2937,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/dashboard
200,2230,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/submit-form
404,1085,"""http://example.com/""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/
302,1027,"""http://example.com/""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/
404,2368,"""http://example.com/submit-form""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/submit-form
200,2476,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""GET",/
404,1611,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/profile
200,2326,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""DELETE",/dashboard
404,439,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/submit-form
302,222,"""http://example.com/""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/
404,3104,"""http://example.com/index.html""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/index.html
500,304,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/dashboard
500,4606,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/login
500,4347,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/dashboard
302,1475,"""http://example.com/login""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/login
404,3700,"""http://example.com/index.html""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/index.html
302,432,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/submit-form
404,1869,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/login
404,501,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/products
200,3598,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/profile
500,2105,"""http://example.com/profile""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/profile
302,2380,"""http://example.com/login""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/login
404,760,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/profile
200,1964,"""http://example.com/login""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/login
404,4563,"""http://example.com/submit-form""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/submit-form
500,925,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/products
500,4227,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/search
302,2795,"""http://example.com/submit-form""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/submit-form
500,1384,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""POST",/login
200,2326,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""GET",/index.html
302,4414,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/submit-form
302,275,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/profile
500,1378,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/search
500,4925,"""http://example.com/products""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/products
302,584,"""http://example.com/""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/
302,1494,"""http://example.com/profile""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/profile
302,3680,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/submit-form
404,1950,"""http://example.com/login""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""GET",/login
500,3794,"""http://example.com/contact""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/contact
302,1070,"""http://example.com/products""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/products
404,1630,"""http://example.com/submit-form""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/submit-form
500,2289,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""DELETE",/submit-form
302,4549,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/profile
404,1671,"""http://example.com/login""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/login
404,4600,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/profile
500,4398,"""http://example.com/search""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/search
302,4873,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/products
500,3347,"""http://example.com/dashboard""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/dashboard
500,732,"""http://example.com/products""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/products
200,2470,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/products
302,2707,"""-""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/submit-form
500,866,"""http://example.com/products""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/products
302,4305,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""GET",/submit-form
404,2704,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/submit-form
